Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.117600,0.000000,0
Solver,0.314200,163.432852,5.13506e+07
Solver Cleanup,0.001200,0.000000,0
Matvec,0.020500,534.549073,1.09583e+07
PFSB I/O,0.012100,0.000000,0
PFB I/O,0.009600,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.152700,0.000000,0
MGSemi,0.057500,452.669583,2.60285e+07
PCG,0.065700,474.023288,3.11433e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.002500,722.608800,1.80652e+06
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.047200,389.846398,1.84008e+07
Geometries,0.118600,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.438600,-nan,0
