Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.112300,0.000000,0
Solver,3.438100,2.908586,1e+07
Solver Cleanup,0.028000,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.648000,0.000000,0
CLM,0.000200,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.608300,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.737200,0.000000,0
SubsrfSim,0.009400,0.000000,0
Porosity,0.002500,0.000000,0
PhaseRelPerm,0.058100,0.000172,10
MGSemi,0.000000,0.000000,0
NL_F_Eval,1.445600,0.000007,10
KINSol,1.486300,6.728124,1e+07
Total Runtime,3.580000,-nan,0
