Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.060000,0.000000,0
Solver,0.405000,0.889598,360287
Solver Cleanup,0.000900,0.000000,0
Matvec,0.000500,231.456000,115728
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.003600,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.382500,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.142400,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.000800,0.007500,6
MGSemi,0.001100,237.346364,261081
NL_F_Eval,0.072600,0.000028,2
KINSol,0.219800,1.639158,360287
Total Runtime,0.467200,-nan,0
