Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.066000,0.000000,0
Solver,0.257300,22.048041,5.67296e+06
Solver Cleanup,0.001200,0.000000,0
Matvec,0.002900,454.361379,1.31765e+06
PFSB I/O,0.001700,0.000000,0
PFB I/O,0.002400,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.226600,0.000000,0
MGSemi,0.007000,435.483286,3.04838e+06
PCG,0.008300,448.990361,3.72662e+06
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000200,531.330000,106266
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.004700,391.505319,1.84008e+06
Geometries,0.155300,0.000000,0
SubsrfSim,0.000200,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.326000,-nan,0
