Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.152300,0.000000,0
Solver,4.683800,126.141452,5.90821e+08
Solver Cleanup,0.017200,0.000000,0
Matvec,0.333200,564.705882,1.8816e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.010400,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.573200,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.704700,0.000000,0
SubsrfSim,0.000900,0.000000,0
Porosity,0.000200,0.000000,0
PhaseRelPerm,1.172800,0.000679,796
MGSemi,0.748800,567.073150,4.24624e+08
NL_F_Eval,0.706200,0.000266,188
KINSol,3.939900,149.958459,5.90821e+08
Total Runtime,4.880800,-nan,0
