Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.099000,0.000000,0
Solver,7.079600,264.285947,1.87104e+09
Solver Cleanup,0.079600,0.000000,0
Matvec,1.033800,639.450106,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,1.286800,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.230600,0.000000,0
MGSemi,2.298500,665.668388,1.53004e+09
PCG,2.784300,671.996116,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.330700,0.000000,0
SubsrfSim,0.034500,0.000000,0
Porosity,0.009700,0.000000,0
Total Runtime,7.333800,-nan,0
