Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.103300,0.000000,0
Solver,7.571900,247.102945,1.87104e+09
Solver Cleanup,0.080700,0.000000,0
Matvec,1.024600,645.191802,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.561300,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,3.292700,0.000000,0
MGSemi,2.224300,687.874293,1.53004e+09
PCG,2.708300,690.853593,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.295900,0.000000,0
SubsrfSim,0.033800,0.000000,0
Porosity,0.009900,0.000000,0
Total Runtime,7.761500,-nan,0
