Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.087100,0.000000,0
Solver,0.711000,72.611058,5.16265e+07
Solver Cleanup,0.010100,0.000000,0
Matvec,0.028900,620.850381,1.79426e+07
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.010000,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.034900,0.000000,0
Clustering,0.433300,0.000000,0
MGSemi,0.058900,726.897742,4.28143e+07
PCG,0.072200,715.047950,5.16265e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.618300,0.000000,0
PGS RF,0.001600,0.000000,0
SubsrfSim,0.003800,0.000000,0
Porosity,0.000200,0.000000,0
Total Runtime,0.816900,-nan,0
