Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.088300,0.000000,0
Solver,4.895600,84.311558,4.12756e+08
Solver Cleanup,0.009700,0.000000,0
Matvec,0.028800,623.006111,1.79426e+07
PFSB I/O,0.080700,0.000000,0
PFB I/O,0.009200,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.035400,0.000000,0
Clustering,0.667100,0.000000,0
MGSemi,0.058300,734.378679,4.28143e+07
PCG,0.071500,722.048420,5.16265e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000900,726.780000,654102
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.684300,526.779337,3.60475e+08
Geometries,0.617500,0.000000,0
SubsrfSim,3.114400,0.000000,0
Porosity,0.000200,0.000000,0
Total Runtime,5.003900,-nan,0
