Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.170400,0.000000,0
Solver,21.022200,232.686048,4.89157e+09
Solver Cleanup,0.050900,0.000000,0
Matvec,0.994900,1103.146045,1.09752e+09
PFSB I/O,0.000000,0.000000,0
PFB I/O,2.723900,0.000000,0
CLM,0.099900,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.793700,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.850500,0.000000,0
SubsrfSim,0.247700,0.000000,0
Porosity,0.005200,0.000000,0
PhaseRelPerm,2.666800,0.000022,60
MGSemi,3.238200,1144.948604,3.70757e+09
NL_F_Eval,8.447600,0.000005,44
KINSol,16.166400,302.576494,4.89157e+09
Total Runtime,21.191000,-nan,0
