Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.060800,0.000000,0
Solver,0.392000,126.740168,4.96821e+07
Solver Cleanup,0.001200,0.000000,0
Matvec,0.006500,629.619692,4.09253e+06
PFSB I/O,0.031500,0.000000,0
PFB I/O,0.006700,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.191700,0.000000,0
MGSemi,0.022500,448.138356,1.00831e+07
PCG,0.025600,457.489062,1.17117e+07
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.001500,779.284000,1.16893e+06
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.102700,358.339825,3.68015e+07
Geometries,0.119800,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.457900,-nan,0
