Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.061900,0.000000,0
Solver,0.281900,78.870649,2.22336e+07
Solver Cleanup,0.001200,0.000000,0
Matvec,0.002300,572.890435,1.31765e+06
PFSB I/O,0.014700,0.000000,0
PFB I/O,0.002400,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.191200,0.000000,0
MGSemi,0.006600,461.876212,3.04838e+06
PCG,0.007700,483.976623,3.72662e+06
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000200,531.330000,106266
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.047100,390.674098,1.84008e+07
Geometries,0.119300,0.000000,0
SubsrfSim,0.000200,0.000000,0
Porosity,0.000000,0.000000,0
Total Runtime,0.347300,-nan,0
